CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,KMeans_Label,Cluster_Name,Heuristic_Segment
14916,99,7,2124.38928,3,2,3,8,3,Loyal Customers,Potential Loyalists
14932,263,3,794.31317,1,1,2,4,0,Regular Customers,Hibernating
14944,172,1,44.8164,2,1,1,4,2,At Risk Customers,Hibernating
14952,247,7,597.25566,1,2,1,4,0,Regular Customers,Hibernating
14961,153,18,3270.2594400000003,2,3,3,8,3,Loyal Customers,Loyal Customers
14970,53,4,1290.40496,4,1,2,7,3,Loyal Customers,New Customers
14976,115,10,858.08258,3,2,2,7,3,Loyal Customers,Potential Loyalists
14978,62,29,4666.3814,3,4,4,11,3,Loyal Customers,Loyal Customers
14985,191,32,4346.61814,2,4,4,10,0,Regular Customers,Loyal Customers
14987,263,1,350.8612,1,1,1,3,0,Regular Customers,Hibernating
15002,165,23,3170.55652,2,3,3,8,3,Loyal Customers,Loyal Customers
15005,19,70,11038.97988,4,4,4,12,1,VIP Customers,Champions
15012,357,30,5713.82509,1,4,4,9,0,Regular Customers,Loyal Customers
15018,287,1,339.1792,1,1,1,3,0,Regular Customers,Hibernating
15021,277,19,3694.75029,1,3,3,7,0,Regular Customers,Loyal Customers
15023,105,41,6452.8742,3,4,4,11,3,Loyal Customers,Loyal Customers
15024,280,19,4520.90196,1,3,4,8,0,Regular Customers,Loyal Customers
15028,297,7,901.96754,1,2,2,5,0,Regular Customers,Hibernating
15032,271,18,1849.0077800000001,1,3,3,7,0,Regular Customers,Loyal Customers
15033,122,14,3177.7341600000004,3,3,3,9,3,Loyal Customers,Loyal Customers
15034,160,35,6141.345160000001,2,4,4,10,3,Loyal Customers,Loyal Customers
15038,323,23,2492.40668,1,3,3,7,0,Regular Customers,Loyal Customers
15039,27,148,27901.637600000002,4,4,4,12,1,VIP Customers,Champions
15044,138,52,8778.64424,2,4,4,10,3,Loyal Customers,Loyal Customers
15046,20,21,4013.4335,4,3,3,10,3,Loyal Customers,Loyal Customers
15048,300,5,861.8012699999999,1,1,2,4,0,Regular Customers,Hibernating
15052,76,19,3299.95382,3,3,3,9,3,Loyal Customers,Loyal Customers
15057,46,17,2995.80036,4,3,3,10,3,Loyal Customers,Loyal Customers
15058,29,33,6039.58028,4,4,4,12,3,Loyal Customers,Champions
15059,87,16,2432.34134,3,3,3,9,3,Loyal Customers,Loyal Customers
15061,66,80,15832.02138,3,4,4,11,1,VIP Customers,Loyal Customers
15062,204,7,359.37342,2,2,1,5,2,At Risk Customers,Hibernating
15070,347,1,217.67814,1,1,1,3,0,Regular Customers,Hibernating
15078,77,30,4641.18876,3,4,4,11,3,Loyal Customers,Loyal Customers
15079,42,17,4277.73906,4,3,4,11,3,Loyal Customers,Loyal Customers
15081,281,4,497.73922000000005,1,1,1,3,0,Regular Customers,Hibernating
